,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.6509999999999999,23.02,23.02,0.0,0.0
std,0.5101485226397457,72.06169915321513,72.06169915321513,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0
15.9%,0.1,2.0,2.0,0.0,0.0
50%,0.75,10.0,10.0,0.0,0.0
84.1%,1.2036000000000002,20.0,20.0,0.0,0.0
90%,1.5,20.0,20.0,0.0,0.0
97.7%,1.6807499999999997,372.784,372.784,0.0,0.0
99.9%,1.75,375.0,375.0,0.0,0.0
max,1.75,375.0,375.0,0.0,0.0
